col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
1,1,518476,39.00,100,30,,,1,1,3,3,4,2,1,,4,4,63.00,6.70,1,2,1,1,10188,0,0,2
1,1,518476,38.30,84,22,4,,4,1,,,1,,2,,4,4,40.00,6.50,,,1,1,4652,0,0,2
2,1,518476,37.80,48,24,4,,,2,3,4,2,1,,,1,4,38,9.00,,,2,1,1569,0,0,2
1,1,518476,38.5,40,20,3,1,3,1,3,3,4,,,,1,,49.00,68,,,1,2,1363,0,0,2
2,1,518476,38.00,44,40,4,1,1,1,3,3,2,3,1,5.30,,,49,,2,,1,1,11775,0,0,1
2,1,5305629,38.10,60,20,,3,1,1,4,,3,,,1,4,,47,6.10,,6.00,2,2,4000,0,0,2
1,1,518476,38.30,100,,3,3,2,1,3,4,1,,1,2,4,,31.00,6.50,,2,1,1,3837,0,0,1
1,1,518476,38.5,96,,3,,2,1,4,3,4,2,3,,4,,39.00,8.90,1,,1,1,1508,0,0,1
2,1,518476,37.8,44,10,,3,1,2,3,3,4,3,2,5.40,,,31.50,82,,,1,2,2258,0,0,2
2,1,518476,,96,24,2,1,3,2,1,3,4,1,2,,,2,45.00,6.00,3,2.30,1,1,406,0,0,2
1,1,518476,38.7,60,16,3,,4,,1,2,2,2,,,4,1,49.00,11.00,2,,1,1,932,0,0,1
1,1,518476,,140,24,3,3,3,2,2,3,2,3,1,,2,5,37.00,,1,2.80,3,2,7425,0,0,1
1,1,518476,38.10,78,32,4,3,,2,5,4,3,2,1,,,,50.00,65,,2.60,2,1,16499,0,0,1
1,1,518476,37.50,100,24,3,1,1,1,3,1,,,,,,5,45.00,6.80,1,,1,1,2226,0,0,1
1,9,518476,,50,,1,1,4,1,1,,2,,,,,4,36.00,7.0,,2.00,2,2,519,0,0,1
2,1,518476,38.3,160,18,1,1,1,1,5,,1,,,,1,5,68.00,7.00,,,1,1,8558,0,0,2
2,9,518476,38.6,50,40,3,4,1,1,,3,3,2,3,4.00,1,4,68.00,6.50,,3.90,2,2,3045,0,0,2
1,1,518476,40.30,136,30,,2,1,1,,3,,1,1,2,,,73.00,,1,,1,1,2921,0,0,1
2,1,518476,38.50,104,,1,1,3,1,2,1,2,,2,,4,,44.00,7.20,,,1,2,1579,0,0,2
2,1,518476,36.50,96,40,1,,5,1,2,4,3,1,3,,1,,50.00,57,1,3.00,1,1,1472,0,0,1
2,1,518476,38.5,48,,3,1,6,1,1,1,4,1,,,3,5,53,6.90,,4.70,1,1,2437,0,0,2
2,9,518476,38.9,44,36,2,,5,1,3,2,3,,,4.00,4,2,42,9.00,2,,1,2,548,6112,0,2
2,1,518476,,76,24,,1,5,1,3,1,4,,1,4.50,4,,43.00,6.60,1,6.60,2,1,4217,0,0,1
1,1,518476,38.6,42,30,,3,,1,,3,2,2,,,4,5,36,8.50,,,1,1,2968,0,0,2
2,1,5305629,,68,20,,3,2,1,4,1,2,2,1,5.00,4,2,37.00,66,,,1,2,1093,0,0,2
2,1,5305629,,,,,,1,1,2,3,,,2,,,,75,7.20,,,3,2,6128,0,0,1
1,1,518476,37.50,100,28,,3,,2,2,3,3,,1,,,5,51,5.90,3,4.50,1,2,7014,0,0,1
1,1,518476,37.9,48,,2,1,1,2,5,3,3,,1,,4,1,60.00,7.50,,,1,1,863,0,0,2
1,1,518476,38.60,150,80,1,3,5,2,2,3,2,,2,,,5,26,7.30,3,,3,1,439,0,0,2
1,1,5305629,37.8,,36,1,1,1,1,2,1,1,,,,,5,34,8.30,,,1,1,5112,0,0,2
1,1,518476,38.50,48,36,3,1,6,1,4,4,,2,1,,1,,44.00,,,,1,1,3456,0,0,2
2,1,518476,39.00,44,,1,1,1,1,2,1,3,,1,,,,44.00,65,,,1,2,1033,0,0,2
1,9,518476,38.5,42,14,4,4,3,,4,2,1,2,,,,4,50.00,,2,,1,1,2031,0,0,2
2,1,518476,38.40,48,34,1,1,2,1,5,,3,1,1,,4,,50,8.10,2,,1,1,2431,0,0,1
2,1,518476,38,56,52,,3,3,1,2,1,4,,,,3,,45.00,,,,2,2,428,0,0,2
2,1,518476,,150,,1,3,,1,2,3,1,,,,4,5,44.00,61,,,1,1,5577,0,0,2
2,1,518476,37.5,52,51,1,1,1,1,2,,,2,1,,3,,56,6.50,1,5.20,1,1,4057,0,0,1
1,1,518476,39.10,52,30,3,2,,1,3,1,1,,,,,,50,7.00,,,1,1,1605,0,0,2
2,1,518476,38.20,84,,3,,3,1,,1,,1,1,,,,31,6.00,,1,2,1,6191,0,0,1
1,9,518476,,132,,3,3,6,2,3,4,2,,1,,,,45.00,6.10,,4.70,2,1,5025,0,0,1
2,1,518476,38.2,,40,1,3,,1,5,4,1,,,,2,,40.00,7.00,,,3,2,8323,0,0,2
1,1,518476,,70,40,1,1,3,2,2,1,,2,1,,4,5,33,7.70,,,1,1,3781,0,0,2
2,1,5305629,39.4,120,16,1,,1,1,5,3,1,2,1,,,,37,70,3,2,1,2,2951,0,0,1
1,1,518476,36.5,60,12,,1,3,1,2,,2,2,,5.30,,5,,6.10,,1,2,1,13453,0,0,1
1,1,518476,37.70,68,24,4,3,1,1,2,4,3,1,3,1,,4,38.00,,2,3.20,2,1,14008,0,0,2
2,1,518476,38.8,50,,3,1,6,1,4,3,3,2,,7.00,,,57.00,82,3,10.10,2,2,4178,0,0,1
1,9,518476,36.50,86,24,4,3,1,2,3,,3,,3,,,5,47.00,73,3,,3,1,3208,0,0,2
1,1,518476,,48,30,3,1,1,2,2,,4,3,3,,3,,,6.70,,,2,1,1570,0,0,1
1,1,518476,38.3,40,84,1,1,3,2,4,3,1,1,3,,,,44.00,6.70,3,2.20,1,1,6558,0,0,2
1,1,518476,,40,20,1,3,,1,,3,3,2,2,,,2,50,7.50,1,,3,1,9446,0,0,2
2,1,518476,,48,20,3,1,4,1,4,3,,2,1,7.00,,,39.00,9.00,3,,1,2,559,0,0,2
2,1,518476,38.60,40,12,3,3,4,1,5,4,3,,,2,4,,36.00,6.60,,,2,1,7977,0,0,2
1,1,518476,38.10,120,20,3,3,,1,4,4,3,1,3,6.00,1,5,48.00,7.00,,,1,1,7970,0,0,2
1,1,518476,38.5,,28,1,,3,1,3,3,,1,2,,,,36.00,65,,,3,1,3096,0,0,1
1,1,518476,38.6,60,70,3,,5,,4,3,2,2,2,,,4,47,54,,,1,1,1935,0,0,1
2,1,518476,,50,36,3,1,3,,3,3,2,2,1,,1,4,45,6.30,,2,1,1,9317,0,0,1
1,9,518476,39.5,92,,3,3,3,1,2,,,3,1,,1,4,65.00,8.00,,,2,2,2949,0,0,2
1,1,518476,37.60,48,40,1,,5,2,4,3,1,2,1,,,1,52.00,,,,2,1,5489,0,0,2
2,9,518476,37.80,,24,1,3,2,2,2,3,2,2,1,3.00,1,1,47,55,1,1.60,1,2,5680,0,0,1
1,1,518476,,120,32,3,,4,1,3,3,1,2,1,,1,,52.00,,,,1,1,6972,0,0,2
1,1,518476,37.70,66,20,3,3,,1,,,4,2,,,3,2,74.00,8.30,2,2,1,1,2442,0,0,2
1,1,518476,38.3,,30,,3,,,3,3,3,,1,,4,,74.00,7.00,2,,1,1,12281,0,0,2
1,1,518476,37.9,100,52,3,3,3,1,2,3,4,1,,7.20,4,5,68.00,75,,,1,1,3669,0,0,2
1,1,518476,38.80,,84,3,3,3,2,3,4,4,,,,1,5,48,67,2,,1,2,1655,0,0,2
1,1,518476,,60,16,4,2,1,1,1,,2,2,2,5.30,,,38.00,6.50,2,,1,2,1265,0,0,1
1,9,518476,37.80,42,36,3,3,4,,2,3,,2,2,,3,,37,55,2,,1,1,11211,0,0,1
1,1,518476,37.20,66,24,3,,2,2,5,3,3,,1,,1,1,50,6.20,,,2,1,5881,0,0,2
1,1,518476,,40,,3,3,1,2,3,4,1,1,,,3,,42,65,3,6.00,1,1,9031,0,0,1
2,1,518476,38.7,88,20,,3,,,1,3,3,,,,,4,,60,,,1,1,4420,0,0,2
1,1,518476,38.1,,20,1,1,,1,,2,1,,,,,4,,81,,,1,2,9840,0,0,2
2,1,518476,38,76,20,2,,,1,1,3,3,1,,,4,2,64.00,86,,,1,2,736,0,0,2
2,1,518476,37.5,,30,3,1,5,1,5,1,4,3,1,,4,1,39.00,7.70,3,,1,1,1916,0,0,1
1,1,518476,37.80,68,,3,4,1,1,1,3,1,,,,4,,,70,3,4.10,2,1,4239,0,0,1
1,1,518476,,90,30,,1,1,1,5,3,1,,2,,3,,53,71,,,1,1,2318,0,0,2
2,1,518476,38.5,90,30,2,4,3,1,3,2,1,1,,,1,4,36.00,54,2,,1,2,2379,0,0,2
2,1,518476,38.20,48,20,3,1,3,1,,3,1,,2,,1,1,50,6.80,,2,1,1,3257,0,0,2
2,1,518476,38.10,100,58,4,3,5,2,4,4,,2,2,,3,,39.00,8.10,,,3,1,10024,0,0,2
1,1,518476,38,64,,3,,3,1,4,,3,,1,,4,,69.00,7.2,,,1,1,5273,0,0,1
1,1,518476,37.60,40,84,1,1,1,3,3,2,2,,,,4,,37,6.10,,,1,2,1433,0,0,1
1,1,518476,39.00,,,2,3,,1,2,4,3,,,,4,3,42,6.50,2,,1,2,1449,0,0,2
1,9,518476,38.5,64,,3,3,4,1,2,4,2,2,1,,4,5,,7.00,2,,3,1,6838,0,0,2
1,1,518476,37.20,44,12,3,4,1,1,1,,3,,,,1,3,45.00,,3,,3,2,133,0,0,2
2,1,518476,,48,24,1,1,3,1,2,1,2,,,,,2,37.00,,,,1,1,975,0,0,2
1,1,518476,35.4,60,24,4,3,,2,2,,2,1,,,4,,55,,,7.00,1,1,1190,0,0,2
1,1,518476,38.3,,35,1,,4,3,3,3,3,1,1,2,2,,45.00,7.20,2,2.60,1,1,1988,0,0,1
1,1,5305629,39.00,40,24,,3,1,2,2,4,3,2,3,5.40,2,5,50,6.20,1,2.80,2,1,3998,0,0,1
2,1,518476,39.20,72,18,3,1,1,,4,1,,1,1,,,,37.00,6.40,1,,1,2,4688,0,0,2
2,1,518476,39.2,44,,3,1,6,,4,3,2,1,2,,3,1,40.00,53,,,3,1,154,0,0,1
1,1,518476,,52,12,4,4,5,1,4,3,3,,3,7.00,,4,34,7.50,,5.20,1,2,255,0,0,1
2,1,518476,38.50,60,26,3,,5,2,3,4,4,2,3,,,,,7.00,1,2,3,2,2799,0,0,1
1,1,518476,39.00,104,16,,3,4,2,3,3,3,,,7.00,4,1,33,67,,,1,1,2828,0,0,2
1,1,518476,37.3,48,20,3,1,1,1,1,1,,1,1,,,,47.00,66,,,2,2,591,0,0,2
1,1,518476,38.3,124,,3,,4,1,2,4,1,,3,2,,5,40.00,3.30,,,2,2,2569,0,0,2
2,1,518476,37.80,40,40,2,3,,1,5,4,,,,3.00,,,48,68,,,3,2,909,0,0,2
2,1,518476,,100,30,2,1,,1,2,,,2,,,3,1,33,7.40,2,,1,2,1061,0,0,2
1,9,518476,,60,,,3,4,,5,4,1,2,,,1,,50,57,,,1,1,2445,0,0,2
1,1,518476,39.3,72,30,3,2,2,2,2,3,3,2,1,,4,,58.00,6.50,,2.60,1,2,2674,0,0,2
1,1,518476,38.1,60,,4,1,3,2,2,3,1,2,1,,,,40.00,7.00,2,2,3,1,4192,0,0,2
2,1,518476,,40,24,3,,,1,2,3,4,,1,,1,,40.00,6.60,,,3,1,3852,0,0,1
1,1,5305629,38.2,68,40,,,5,2,5,3,2,2,3,6.20,1,,57.00,70,3,,2,1,4345,0,0,2
1,1,518476,38.5,42,36,1,3,1,2,5,3,1,2,2,,4,,36,67,1,2,3,1,6130,0,0,2
2,9,518476,38,132,18,1,3,,1,1,,3,,2,,,,57.00,6.50,,,2,2,1531,0,0,2
1,1,5305629,38.90,52,40,1,1,3,3,1,1,3,,,,2,4,65.00,70,3,1,1,1,1952,0,0,2
1,9,518476,,104,70,3,1,4,2,2,,2,,,,,,57,6.80,3,,1,1,4280,0,0,1
2,1,518476,,44,36,,2,1,1,5,2,4,2,3,,4,,47.00,7.70,,,1,2,234,0,0,2
1,1,518476,,40,,1,1,,2,5,3,1,3,3,,4,,34,7.70,2,4.10,1,1,3722,0,0,2
2,1,518476,38.80,88,40,,,6,1,3,3,2,,,2,,1,42,56,,,1,1,3608,0,0,2
1,1,518476,38.3,64,30,1,1,5,1,3,3,3,1,3,1,1,1,42.00,61,3,,2,1,12869,0,0,1
1,1,518476,38.30,96,,1,1,5,2,1,3,3,3,3,2,4,5,,6.60,1,2.50,2,1,2741,0,0,2
1,1,518476,37.50,,26,3,1,1,1,3,1,4,1,1,,,1,72.00,8.00,,,1,1,5228,0,0,1
1,1,518476,40.30,40,24,3,3,,,2,3,1,,1,,3,5,66.00,8.50,1,1.60,1,1,2879,0,0,2
1,1,518476,,,80,3,,2,2,5,3,4,1,1,,4,,37,6.60,2,2,1,2,2264,0,0,2
1,1,518476,,64,68,4,1,4,1,3,,,2,1,,,,50.00,7.50,,,3,1,2481,0,0,1
2,1,518476,38.2,44,16,1,3,2,1,,,,1,1,,,1,47.00,66,,,1,1,3508,0,0,2
2,1,518476,,48,20,2,1,1,1,2,3,,1,,,,5,40.00,,,2,1,2,4363,0,0,2
2,1,518476,,52,28,4,3,,1,5,3,3,,3,,1,5,48.00,7.30,,3.70,1,2,2905,0,0,1
2,1,518476,37.50,40,,1,1,6,2,,3,2,,1,,3,5,65,,3,1,1,2,1761,0,0,1
1,1,518476,37.8,100,24,2,1,3,1,5,1,,1,2,7.00,4,,37.50,9.00,3,2.80,1,1,2506,0,0,2
2,1,518476,38.1,100,88,1,1,2,1,,4,1,2,3,,3,4,36.00,61,1,,1,1,1800,0,0,1
1,1,518476,38.5,120,12,,1,1,1,,3,1,1,1,7.20,,4,38.00,,,3.90,1,1,4605,0,0,1
2,1,518476,,80,20,4,3,6,1,,4,1,,2,,4,1,45.00,6.50,3,1,3,1,1110,0,0,1
1,9,5305629,38.30,108,36,2,1,1,1,3,1,2,,,,3,,52,7.40,1,2.80,3,1,7609,0,0,1
2,1,518476,37.90,40,,1,1,5,2,3,3,2,3,1,6.50,1,5,35.00,65,,,1,2,1746,0,0,2
1,1,518476,,40,12,3,3,1,2,3,4,4,1,1,,1,,69.00,,1,,1,1,7882,0,0,1
1,1,518476,38.20,60,24,2,,1,3,2,3,3,1,,5.50,,,37.00,7.50,1,,1,2,1498,0,0,2
2,9,518476,38.0,36,24,1,1,6,1,1,,4,2,1,,1,,48,9.10,3,,3,1,5714,0,0,2
2,1,518476,37.4,120,60,3,1,3,2,5,,,1,2,1.50,3,,37,7.30,,2,2,2,207,0,0,1
1,1,518476,39.20,48,18,2,,5,1,2,,1,,,,,5,,,3,,1,1,1140,0,0,1
2,1,518476,37.90,,16,1,3,,2,5,3,1,,1,,4,,38.00,,1,5.20,1,1,10943,0,0,1
1,9,518476,38.60,,16,3,,4,2,,4,,1,1,,3,,,6.70,2,1,1,1,6659,0,0,2
2,1,518476,38.00,,16,3,3,6,2,4,3,1,,,,,5,49.00,4.90,,,1,2,12265,0,0,1
1,1,518476,,42,12,3,,4,1,2,3,4,,1,,3,5,67,4.50,,,3,1,2454,0,0,2
2,1,518476,39.2,44,16,,,5,2,2,4,1,2,1,7.00,,5,55,7.50,3,,1,1,7222,3111,0,2
1,1,5305629,39.4,86,18,3,3,,1,5,3,1,,3,,4,,65.00,8.10,,,2,1,16434,0,0,2
1,1,518476,,96,36,4,,2,1,5,1,,,,,2,5,33.00,70,3,,2,1,7549,0,0,2
2,1,518476,36.60,60,48,2,,6,1,2,4,1,,,,2,5,35.00,66,,,1,2,1030,0,0,1
2,9,518476,38.30,110,,4,1,2,1,5,4,1,1,,2,1,,26,65,1,,2,2,560,0,0,2
2,1,518476,38.00,52,66,3,1,3,2,1,4,1,1,1,,,,37,8.10,,,2,2,1805,0,0,2
1,1,518476,,52,42,1,1,2,2,,3,2,3,1,,,5,37.00,6.50,,,1,1,2931,0,0,2
1,1,518476,37.5,84,12,3,3,,,4,4,3,2,2,6.50,4,5,44.00,69,3,,1,1,7191,0,0,2
2,1,518476,,,12,4,,,1,2,3,1,,2,,1,5,49.00,8.20,,,2,2,883,0,0,1
2,1,5305629,37.80,52,40,4,3,1,2,2,4,3,1,1,,3,,23.00,60,1,2,1,2,3696,0,0,2
